player_name,image_url
Axar Patel,https://th.bing.com/th?id=OSK.HERO-NADl_b-ZqxJICHfVox6b5I4IpiC9n1XijgDZvr4fw4&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Tim Southee,https://www.bing.com/th?id=OIP.m0beyBg7XNszq_BeWJQ-6AHaE8&w=312&h=200&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Atharva Taide,https://www.bing.com/th?id=OIP.__4dvtYerWlat0-foMVR7AHaHa&w=173&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Anukul Roy,https://www.bing.com/th?id=OIP.owfJaf9OA8ZBaRoLSUQ0HAHaDt&w=161&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Sandeep Sharma,https://th.bing.com/th?id=OSK.HEROfOsHY8qmasj8CNt-hj5tpxd3424EIg8tM-ZY9DL-nPc&w=312&h=200&c=15&rs=2&o=6&dpr=2&pid=SANGAM
Naveen-ul-Haq,https://th.bing.com/th?id=OSK.mmcolMGsZ1bZJonmu0H3sWIKzC3l-rL7kj1bj-NuWL2vlg0g&w=155&h=200&c=7&rs=1&o=6&dpr=2&pid=SANGAM
Mandeep Singh,https://th.bing.com/th?id=OSK.mmcolC_1KzNIHRk0zzYbVPxg0B0wXMX_Ns1rYxxgGZoH0u0s&w=130&h=100&c=8&o=6&dpr=2&pid=SANGAM
Duan Jansen,https://www.bing.com/th?id=OIP.EXTdwSqr2LjHQhfe3F2F0wHaEK&w=179&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Mayank Markande,https://th.bing.com/th?id=OSK.mmcolMmw1-9BRdWRUHXNCCgWqFC7Ff-vK0VvpcqsI6eyK9D8&w=130&h=100&c=8&o=6&dpr=2&pid=SANGAM
Suyash Prabhudessai,https://th.bing.com/th?id=OSK.HEROarUegW-r4rE-s6_zcXWVvMqLOHu38KryJVSs8OB3VTA&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Varun Chakravarthy,https://th.bing.com/th?id=OSK.mmcol-XXeDZu-lnPqPnhpprmwC_nAKmQh6j0XAxRg5X5syqI&w=155&h=200&c=7&rs=1&o=6&dpr=2&pid=SANGAM
Rashid Khan,https://www.bing.com/th?id=OIP.LzCYUH8pJCsvNjl3hy5jVwHaFj&w=202&h=200&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Yuzvendra Chahal,https://www.bing.com/th?id=OIP.xjmQpmSfZS6FTPM-GL8I_gHaEA&w=202&h=200&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Fazalhaq Farooqi,https://th.bing.com/th?id=OSK.HEROi9g0w1qL2DeqaCBjNdg6u7lZqJYU1HtSBUIM17xqteY&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Dwaine Pre,https://th.bing.com/th?id=OSK.HEROuysSnRisJ6b69BJrLxvgZsXM6ySFKx7S96K0b3pOByo&w=472&h=280&c=13&rs=2&o=6&dpr=2&pid=SANGAM
Yash Thakur,https://www.bing.com/th?id=OIP.YfY0KTRVeb2mjtZLo1JAmAHaIy&w=150&h=185&c=8&rs=1&qlt=90&o=6&dpr=2&pid=3.1&rm=2
Ishan Kishan,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR2O_eQ-BkGnqIldACC6H1QNSdQ8cWiyz25PQ&s
n Sundar,https://yespunjab.com/wp-content/uploads/2024/07/Washington-Sundar-696x497.jpg
Adil Rashid,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqotRHgenxhDQWJ7pGq2SFjnGvpIDAsTfZFg&s
David Warner,https://crictoday.com/wp-content/uploads/2023/02/warner_player_of_the_tournamen_0_1200x768-1-1.jpg
Darshan Nalkande,https://documents.iplt20.com/ipl/IPLHeadshot2024/127.png
Vaibhav Arora,https://documents.iplt20.com/ipl/IPLHeadshot2024/583.png
Khaleel Ahmed,https://documents.iplt20.com/ipl/IPLHeadshot2024/8.png
Harshal Patel,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJlgfYRjWU361NqsWFk4m4bkxMlLzOp6mJ6A&s
Himanshu Sharma,https://browvopetshop.com/wp-content/uploads/2024/03/Himanshu-Sharma-Biography-e1711970720147.jpg
Kyle Mayers,https://www.cricnepal.com/wp-content/uploads/2023/06/Kyle-Mayers-West-Indies-cricketer-110.webp
Ravi Bishnoi,https://documents.iplt20.com/ipl/IPLHeadshot2024/520.png
Suryakumar Yadav,https://documents.iplt20.com/ipl/IPLHeadshot2024/174.png
Venkatesh Iyer,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnGmCrrwE_emTLaqQihdxbmwteejjo858tng&s
Shikhar Dhawan,https://www.hindustantimes.com/static-content/1y/cricket-logos/players/shikhar-dhawan.png
Akeal Hosein,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQQe2QKrf2wfl3Kl0sanM2xZ9tVkqM_I2lbwQ&s
Mark Wood,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvgL7_hCn0TUelJ8mUJMwpV3Q4DFKTs8oh_w&s
Kuldeep Yadav,https://documents.iplt20.com/ipl/IPLHeadshot2024/14.png
Kulwant Khejroliya,https://documents.iplt20.com/playerheadshot/ipl/284/3835.png
Umran Malik,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTl_E1BQFysefrTCGP4cyh90CUyFX7Zebjdqw&s
Heinrich Klaasen,https://www.hindustantimes.com/static-content/1y/cricket-logos/players/heinrich-klaasen.png
Mohsin Khan,https://documents.iplt20.com/ipl/IPLHeadshot2024/541.png
Devdutt Padikkal,https://www.lucknowsupergiants.in/static-assets/images/players/67589.png?v=12.22
Krunal Pandya,https://www.lucknowsupergiants.in/static-assets/images/players/63788.png?v=12.22
Mohammed Siraj,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQ58nRZrklt7ztdi04Das1rj4wQqNDEmqboA&s
Dinesh Karthik,https://documents.iplt20.com/ipl/IPLHeadshot2024/13.png
Yashasvi Jaiswal,https://documents.iplt20.com/ipl/IPLHeadshot2024/533.png
Nitish Kumar Reddy,https://documents.iplt20.com/ipl/IPLHeadshot2024/1944.png
Sisanda Magala,https://images.mykhel.com//webp/images/cricket/players/2/7572.jpg
Nathan Ellis,https://www.punjabkingsipl.in/static-assets/images/players/70324.png?v=5.97
Rovman Powell,https://www.rajasthanroyals.com/static-assets/images/players/65291.png?v=6.49
Abdul Samad,https://documents.iplt20.com/ipl/IPLHeadshot2024/525.png
KM Asif,https://documents.iplt20.com/playerheadshot/ipl/284/4944.png
Jason Behrendorff,https://www.mumbaiindians.com/static-assets/waf-images/d5/11/fa/4-3/592-444/RloXfxKY8d.jpg
Suyash Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2024/1932.png
David Willey,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_800,q_50/lsci/db/PICTURES/CMS/376600/376658.jpg"
Glenn Maxwell,https://documents.iplt20.com/ipl/IPLHeadshot2024/28.png
Shardul Thakur,https://www.hindustantimes.com/static-content/1y/cricket-logos/players/shardul-thakur.png
Mitchell Marsh,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8TAvy0iTvcTlHiMqdjVmy9qXxHCzVWzb33w&s
KL Rahul,https://documents.iplt20.com/ipl/IPLHeadshot2024/19.png
Tilak Varma,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRf0ccmQraMUavCoNaSqUdSHGs1gPJtUq_qfw&s
Jofra Archer,https://www.google.com/url?sa=i&url=https%3A%2F%2Fwww.espncricinfo.com%2Fcricketers%2Fjofra-archer-669855&psig=AOvVaw1SVY-QfKQI3HQ140YEDTrK&ust=1729833878609000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCKDjmcGjpokDFQAAAAAdAAAAABAE
Priyam Garg,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMA1vAK30DsL27R2iprUN37FLiHZCnPlY_pw&s
Kuldip Yadav,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQiyEMhrZueH6VHFmSrPYUIAibmD8-Jikx8_w&s
Anrich Nortje,https://documents.iplt20.com/ipl/IPLHeadshot2024/142.png
Harpreet Brar,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvmu97_N1FDPcdGH90lP4_bT7IlOqQO9K2ug&s
Yash Dayal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSAslCM6Yp2FRJX-FRgFBP3w5tcbt7hW5thA&s
Ripal Patel,https://images.mykhel.com//webp/images/cricket/players/3/13893.jpg
Rohit Sharma,"https://static.toiimg.com/thumb/msid-111741230,width-1280,height-720,resizemode-4/111741230.jpg"
Yash Dhull,https://documents.iplt20.com/ipl/IPLHeadshot2024/777.png
Prithvi Shaw,https://www.google.com/url?sa=i&url=https%3A%2F%2Fipltable.in%2Fipl-2024-teams-list%2Fdelhi-capitals%2Fprithvi-shaw%2F&psig=AOvVaw1s2TKFcuu_R1z4UgidptoR&ust=1729834965116000&source=images&cd=vfe&opi=89978449&ved=0CBQQjRxqFwoTCLC4o82npokDFQAAAAAdAAAAABAE
Arshad Khan,https://www.lucknowsupergiants.in/static-assets/images/players/82839.png?v=12.22
Sai Sudharsan,https://documents.iplt20.com/ipl/IPLHeadshot2024/976.png
Piyush Chawla,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcShwAUr3B53gH_EXYDyHqLxaU25ngsP6wPU3g&s
Jason Holder,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcsKTfexh3eEPxd_1IKvnVDq1f65SvpJ9p0g&s
Wayne Parnell,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR72hwOp8vDh-uDsxvrYHh2nNYXxFZjjH3xLQ&s
Bhuvneshwar Kumar,https://static-files.cricket-australia.pulselive.com/headshots/440/10909-camedia.png
Wanindu Hasaranga,https://cricreads.com/wp-content/uploads/2023/03/images-7.jpeg
Avesh Khan,https://www.rajasthanroyals.com/static-assets/images/players/64511.png?v=6.49
Lalit Yadav,https://documents.iplt20.com/ipl/IPLHeadshot2024/538.png
Shahbaz Ahmed,"https://img.etimg.com/thumb/width-1200,height-1200,imgsize-98306,resizemode-75,msid-105508172/news/sports/shahbaz-ahmed-traded-to-srh-from-rcb.jpg"
Glenn Phillips,https://documents.iplt20.com/ipl/IPLHeadshot2024/635.png
Mohit Rathee,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRLPfNtdEaSoNJrMCfwLLJlNzysN321bUGong&s
Matthew Short,https://images.mykhel.com/webp/images/cricket/players/4/7034.jpg
Vijay Shankar,https://documents.iplt20.com/ipl/IPLHeadshot2024/61.png
Aman Hakim Khan,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_320,q_50/lsci/db/PICTURES/CMS/341000/341035.png"
Tim David,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTVekIUH4Tgp7kRo1lqfcrggtUSs0k0Rbk0Ew&s
Raghav Goyal,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_Is1TlCDryK9o6JOJ9pBLKX7Zcwf9OXI3-Q&s
Abhishek Sharma,https://documents.iplt20.com/ipl/IPLHeadshot2024/212.png
Jaydev Unadkat,https://documents.iplt20.com/ipl/IPLHeadshot2024/180.png
